화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,여성용-대변기수,화장실입구cctv설치유무,기저귀교환대장소,전화번호,개방시간
가문동포구,,제주특별자치도 제주시 애월읍 하귀2리 2729-1,N,1,2,N,없음,064-728-8883,24시간
감수탕,제주특별자치도 제주시 감수북길 41,제주특별자치도 제주시 삼양이동 1965-3,N,1,2,N,없음,064-728-8175,24시간
검멀레,제주특별자치도 제주시 우도면 우도해안길 1142,제주특별자치도 제주시 우도면 연평리 318-2,N,3,3,N,없음,064-728-4342,24시간
검멀레주차장,제주특별자치도 제주시 우도면 우도해안길 1122,제주특별자치도 제주시 우도면 연평리 312,N,1,3,N,없음,064-728-4342,24시간
고내봉산책로,제주특별자치도 제주시 애월읍 고하상로 78-5,제주특별자치도 제주시 애월읍 하가리 1632-1,N,1,1,N,없음,064-728-8883,24시간
고산수월봉,,제주특별자치도 제주시 한경면 고산리 3758-2,N,2,4,N,없음,064-728-7952,24시간
고산엉알,,제주특별자치도 제주시 한경면 고산리 3653-3,N,1,2,N,없음,064-728-7952,24시간
공항입구주차장,제주특별자치도 제주시 다호북길 7,제주특별자치도 제주시 용담이동 1611,N,1,2,N,없음,064-728-3246,24시간
곽지과물해변통시,,제주특별자치도 제주시 애월읍 곽지리 1565-20,N,3,8,N,없음,064-728-8884,24시간
곽지해수욕장,,제주특별자치도 제주시 애월읍 곽지리 1566,N,5,8,N,없음,064-728-8884,24시간
곽지해수욕장서측(관광진흥과),,제주특별자치도 제주시 애월읍 곽지리 1565,N,4,7,N,없음,064-728-2765,24시간
관곶,,제주특별자치도 제주시 조천읍 신흥리 792-2,N,1,1,N,없음,064-728-8765,24시간
광령저수지 남쪽,,제주특별자치도 제주시 애월읍 광령리 3602-2,N,1,1,N,없음,064-728-8883,24시간
교래마을운동장,,제주특별자치도 제주시 조천읍 교래리 188,N,1,2,N,없음,064-728-7865,24시간
구좌공설묘지,,제주특별자치도 제주시 구좌읍 송당리 54-1,N,1,2,N,없음,064-728-7745,24시간
구좌충혼묘지,,제주특별자치도 제주시 구좌읍 세화리 1085-6,N,1,1,N,남자화장실+여자화장실,064-728-7745,24시간
궤물동산,,제주특별자치도 제주시 한림읍 귀덕리 3025-2,N,1,1,N,없음,064-728-7656,24시간
궤물오름주차장(남),,제주특별자치도 제주시 애월읍 유수암리 1191-2,N,2,0,N,없음,064-728-8883,24시간
궤물오름주차장(여),,제주특별자치도 제주시 애월읍 유수암리 1191-2,N,0,2,N,없음,064-728-8883,24시간
귀덕1리동방파제,제주특별자치도 제주시 한림읍 귀덕11길 23-3,제주특별자치도 제주시 한림읍 귀덕리 976-13,N,1,2,N,없음,064-728-7656,24시간
귀덕2리방파제,제주특별자치도 제주시 한림읍 한림해안로 621,제주특별자치도 제주시 한림읍 귀덕리 4110-2,N,1,2,N,없음,064-728-7656,24시간
그린공원 배드민턴장,,제주특별자치도 제주시 일도이동 46-2,N,1,1,N,없음,064-728-8023,24시간
그린쉼터(그린공원 내),,제주특별자치도 제주시 일도이동 46-2,N,1,2,N,없음,064-728-8023,24시간
금능리 포구,제주특별자치도 제주시 한림읍 금능7길 23,제주특별자치도 제주시 한림읍 금능리 1494-1,N,3,3,N,여자화장실,064-728-7656,24시간
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,제주특별자치도 제주시 한림읍 금능리 2036-1,N,3,8,N,없음,064-728-7656,24시간
금등소공원,,제주특별자치도 제주시 한경면 금등리 697-3,N,1,2,N,없음,064-728-7952,24시간
기상청 인근,제주특별자치도 제주시 만덕로6길 24-6,제주특별자치도 제주시 일도일동 1181-1,N,2,2,N,없음,064-728-4416,24시간
김녕해녀작업장,,제주특별자치도 제주시 구좌읍 김녕리 1270-6,N,1,1,N,남자화장실+여자화장실,064-728-7745,24시간
김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 9,제주특별자치도 제주시 구좌읍 김녕리 497-4,N,2,3,N,여자화장실,064-728-7745,24시간
낙천테마마을,제주특별자치도 제주시 한경면 낙수로 97,제주특별자치도 제주시 한경면 낙천리 1913,N,1,3,N,여자화장실,064-728-7952,24시간
남또르쉼터,,제주특별자치도 제주시 애월읍 신엄리 2802,N,1,2,N,없음,064-728-8883,24시간
남생이못,,제주특별자치도 제주시 조천읍 신촌리 2497,N,1,2,N,없음,064-728-8765,24시간
남조봉공원,,제주특별자치도 제주시 오라이동 산 21-1,N,1,3,N,없음,064-728-3605,24시간
납읍난대림,제주특별자치도 제주시 애월읍 납읍로2길 36,제주특별자치도 제주시 애월읍 납읍리 1526-1,N,3,6,N,없음,064-728-8883,24시간
내도화장실,제주특별자치도 제주시 테우해안로 65,제주특별자치도 제주시 내도동 461-4,N,1,1,N,남자화장실+여자화장실,064-728-8314,24시간
노루생태관찰원 1,제주특별자치도 제주시 명림로 520,제주특별자치도 제주시 봉개동 산 51-2,N,3,5,N,여자화장실,064-728-3613,9시간
노루생태관찰원 2,제주특별자치도 제주시 명림로 520,제주특별자치도 제주시 봉개동 산 51-2,N,3,6,N,여자화장실,064-728-3613,9시간
노형 제1근린공원,제주특별자치도 제주시 정존5길 67,제주특별자치도 제주시 노형동 2584-1,N,3,6,N,남자화장실+여자화장실,064-728-3605,24시간
노형 제2근린공원,제주특별자치도 제주시 월광로 116,제주특별자치도 제주시 노형동 2582-1,N,3,4,N,없음,064-728-3605,24시간
노형근린공원,제주특별자치도 제주시 과원북4길 12,제주특별자치도 제주시 노형동 731,N,3,4,N,없음,064-728-3605,24시간
노형신비의도로,,제주특별자치도 제주시 노형동 291-25,N,3,5,N,남자화장실+여자화장실,064-728-8265,24시간
누웨모루거리공중화장실,제주특별자치도 제주시 신대로12길 54,제주특별자치도 제주시 연동 272-56,N,3,4,N,없음,064-728-8235,24시간
느지리오름,,제주특별자치도 제주시 한림읍 상명리 산5,N,1,2,N,없음,064-728-7656,24시간
다락쉼터,,제주특별자치도 제주시 애월읍 고내리 461-1,N,3,5,N,없음,064-728-8883,24시간
다려도,,제주특별자치도 제주시 조천읍 북촌리 산 88,N,1,1,N,없음,064-728-7865,24시간
다이빙 지상훈련장,제주특별자치도 제주시 서광로2길 24,제주특별자치도 제주시 오라일동 1165,N,2,2,N,없음,064-728-3293,09:00~18:00
닭머루,,제주특별자치도 제주시 조천읍 신촌리 3403,N,1,2,N,없음,064-728-8765,24시간
당오름,,제주특별자치도 제주시 구좌읍 송당리 산202-1,N,1,1,N,없음,064-728-7745,24시간
대서광장,,제주특별자치도 제주시 추자면 대서리 147-16,N,1,2,N,없음,064-728-4282,24시간
대서광장(공연장),,제주특별자치도 제주시 추자면 대서리 147-19,N,1,2,N,없음,064-728-4282,24시간
도두봉 섬머리,제주특별자치도 제주시 서해안로 197,제주특별자치도 제주시 도두일동 1749-4,N,2,4,N,여자화장실,064-728-4965,24시간
도두봉공원,제주특별자치도 제주시 도두항길 4-17,제주특별자치도 제주시 도두일동 산 2,N,2,4,N,여자화장실,064-728-3605,24시간
도항선대합실,제주특별자치도 제주시 우도면 우도해안길 70,제주특별자치도 제주시 우도면 연평리 1737-13,N,2,2,N,없음,064-728-4353,12시간
동동포구,,제주특별자치도 제주시 조천읍 신촌리 533-3,N,1,2,N,없음,064-728-8765,24시간
동문공설시장(시장입구-10번 게이트),제주특별자치도 제주시 동문로4길 9,제주특별자치도 제주시 일도일동 1103,N,2,5,N,여자화장실,064-728-2825,24시간
동문공설시장(종합안내센터 옆-시장쪽),제주특별자치도 제주시 동문로4길 9,제주특별자치도 제주시 일도일동 1103,N,2,3,N,없음,064-728-2825,24시간
동문수산시장(상인회사무실-주차장),제주특별자치도 제주시 관덕로14길 20,제주특별자치도 제주시 이도일동 1436-7,N,2,5,N,여자화장실,064-728-2825,24시간
동문재래,제주특별자치도 제주시 중앙로13길 16-8,제주특별자치도 제주시 이도일동 1330-5,N,1,2,Y,남자화장실+여자화장실,064-728-3246,13시간
동백동산(습지센타 주차장),제주특별자치도 제주시 조천읍 동백로 77,제주특별자치도 제주시 조천읍 선흘리 924,N,1,4,N,남자화장실+여자화장실,064-728-2742,24시간
동복마을운동장,,제주특별자치도 제주시 구좌읍 동복리 산 56-14,Y,1,0,N,없음,064-728-7745,24시간
동복어촌정주어항,,제주특별자치도 제주시 구좌읍 동복리 1585-2,N,1,1,N,남자화장실+여자화장실,064-728-7745,24시간
두모리포구,제주특별자치도 제주시 한경면 두모11길 51,제주특별자치도 제주시 한경면 두모리 2621-1,N,1,1,N,없음,064-728-7952,24시간
등대공원,제주특별자치도 제주시 추자면 영흥4길 46,제주특별자치도 제주시 추자면 영흥리 66,N,1,1,N,없음,064-728-4282,24시간
마중오름,,제주특별자치도 제주시 한경면 저지리 2181,N,1,3,N,없음,064-728-7952,24시간
망동산,,제주특별자치도 제주시 화북일동 1957,N,1,2,N,없음,064-728-8154,24시간
메지박,,제주특별자치도 제주시 추자면 대서리 365,N,1,1,N,없음,064-728-4282,24시간
면수동해녀탈의장,,제주특별자치도 제주시 구좌읍 하도리 3140-2,N,1,1,N,없음,064-728-7745,24시간
모진이,,제주특별자치도 제주시 추자면 신양리 47,N,1,3,N,없음,064-728-4282,24시간
모충사 화장실,제주특별자치도 제주시 사라봉길 75,제주특별자치도 제주시 건입동 387-4,N,3,3,N,없음,064-722-0614,24시간
목게,,제주특별자치도 제주시 추자면 대서리 산 186,N,1,2,N,없음,064-728-4282,24시간
목석원 체육시설,,제주특별자치도 제주시 아라일동 656-1,N,0,1,N,없음,064-728-8208,24시간
목지코지,,제주특별자치도 제주시 구좌읍 김녕리 6147,N,1,2,N,없음,064-728-7745,24시간
묵리,,제주특별자치도 제주시 추자면 묵리 731-5,N,1,2,N,없음,064-728-4282,24시간
미리내공원,제주특별자치도 제주시 미리내길 84,제주특별자치도 제주시 노형동 1888,N,3,5,N,없음,064-752-3391,09:00~18:00
미수동포구,,제주특별자치도 제주시 애월읍 하귀2리 1656-6,N,1,1,N,없음,064-728-8883,24시간
민속오일시장A(대장간옆),제주특별자치도 제주시 오일장서길 26,제주특별자치도 제주시 도두일동 1212,N,2,5,N,없음,064-728-2825,18시간
민속오일시장B(문화광장),제주특별자치도 제주시 오일장서길 26,제주특별자치도 제주시 도두일동 1212,N,2,5,N,없음,064-728-2825,18시간
민속오일시장C(주차장P3),제주특별자치도 제주시 오일장서길 26,제주특별자치도 제주시 도두일동 1212,N,2,5,N,없음,064-728-2825,18시간
민속오일시장오일시장D(농협 좌측),제주특별자치도 제주시 오일장동길 51,제주특별자치도 제주시 도두일동 1212,N,3,6,N,없음,064-728-2825,24시간
민속오일시장오일시장E(8번주차장 옆),제주특별자치도 제주시 오일장동길 51,제주특별자치도 제주시 도두일동 1212,N,3,7,N,없음,064-728-2825,18시간
바리메오름주차장,,제주특별자치도 제주시 애월읍 어음리 산 21,N,2,2,N,없음,064-728-8883,24시간
방선문,,제주특별자치도 제주시 오라이동 3819-11,N,1,2,N,없음,064-728-4816,24시간
백포어촌정주어항,제주특별자치도 제주시 서해안로 99,제주특별자치도 제주시 이호일동 347-1,N,1,2,N,없음,064-728-4935,24시간
법원북측주차장,,제주특별자치도 제주시 이도이동 1066,N,1,2,Y,없음,064-728-3246,9시간
별도봉산책로,제주특별자치도 제주시 별도봉길 3-19,제주특별자치도 제주시 화북일동 4517,N,1,1,N,없음,064-728-8154,24시간
봉글레산,,제주특별자치도 제주시 추자면 대서리 산 175,Y,0,1,N,없음,064-728-4282,24시간
북촌어촌정주어항,,제주특별자치도 제주시 조천읍 북촌리 1363-4,N,1,1,N,없음,064-728-8765,24시간
북촌해동공중화장실,,제주특별자치도 제주시 조천읍 북촌리 1445,N,1,2,N,없음,064-728-8765,24시간
비양도공중화장실,,제주특별자치도 제주시 한림읍 협재리 산117-1,N,1,2,N,없음,064-728-7656,24시간
비양도대합실,제주특별자치도 제주시 한림읍 한림해안로 196,제주특별자치도 제주시 한림읍 대림리 2019-17,N,2,3,N,없음,064-728-7656,24시간
비양동탈의장,,제주특별자치도 제주시 우도면 연평리 682-6,N,1,3,N,없음,064-728-4353,24시간
비양리포구,제주특별자치도 제주시 한림읍 비양도길 2,제주특별자치도 제주시 한림읍 협재리 3028-1,N,2,5,N,없음,064-728-7656,24시간
사라봉 다목적체육관,제주특별자치도 제주시 동문로 169,제주특별자치도 제주시 건입동 546-7,N,3,6,N,남자화장실+여자화장실,064-752-3391,08:00~22:00
사라봉공원(동쪽.베드민턴장옆),제주특별자치도 제주시 사라봉동길 74,제주특별자치도 제주시 건입동 387-1,N,3,4,Y,여자화장실,064-728-3605,24시간
사라봉공원(서쪽),제주특별자치도 제주시 사라봉동길 74,제주특별자치도 제주시 건입동 387-1,N,2,2,N,없음,064-728-3605,24시간
사라봉공원(정상),제주특별자치도 제주시 사라봉동길 74,제주특별자치도 제주시 건입동 387-1,N,3,3,N,없음,064-728-3605,24시간
사라봉축구장,제주특별자치도 제주시 동문로 169,제주특별자치도 제주시 건입동 546-7,N,2,3,N,없음,064-752-3391,08:00~22:00
사려니숲길 주차장,,제주특별자치도 제주시 봉개동 2750-2,N,4,4,N,남자화장실+여자화장실,064-728-3595,24시간
산지천,제주특별자치도 제주시 관덕로17길 13-1,제주특별자치도 제주시 일도일동 1210-2,N,1,2,N,없음,064-728-4416,24시간
산호사,,제주특별자치도 제주시 우도면 연평리 2565,N,1,2,N,없음,064-728-4342,24시간
삼무공원,제주특별자치도 제주시 신대로10길 48-9,제주특별자치도 제주시 연동 270-5,N,4,5,N,여자화장실,064-728-3605,24시간
삼양게이트볼구장,제주특별자치도 제주시 원당북로 45,제주특별자치도 제주시 삼양일동 745,N,1,2,N,없음,064-752-3391,08:00~22:00
삼양동 버스회차지,,제주특별자치도 제주시 삼양일동 1579-1,N,1,1,N,없음,064-728-8175,24시간
삼양축구장,제주특별자치도 제주시 원당북로 45,제주특별자치도 제주시 삼양일동 745,N,2,3,N,없음,064-752-3391,08:00~22:00
삼양포구,제주특별자치도 제주시 서흘1길 79,제주특별자치도 제주시 삼양일동 1912-7,N,2,3,N,없음,064-728-8175,24시간
삼양해수욕장,제주특별자치도 제주시 선사로8길 15,제주특별자치도 제주시 삼양일동 1569-43,N,3,4,N,없음,064-728-8175,24시간
삼화제6호 근린공원,,제주특별자치도 제주시 도련일동 1912,N,2,7,Y,여자화장실,064-728-3605,24시간
상추자대합실,제주특별자치도 제주시 추자면 추자로 3,제주특별자치도 제주시 추자면 대서리 4-39,N,2,7,N,없음,064-728-4282,24시간
새별오름 공중화장실(산불초소 아래 화장실),,제주특별자치도 제주시 애월읍 봉성리 산59-17,N,1,4,N,없음,064-728-2765,축제시기에만 한시적으로 개방
새별오름 공중화장실(새별오름 동측 화장실),,제주특별자치도 제주시 애월읍 봉성리 산59-18,N,1,4,N,없음,064-728-2765,축제시기에만 한시적으로 개방
새별오름화장실(부리부리),,제주특별자치도 제주시 애월읍 봉성리 4554-15,N,2,4,N,없음,064-728-8883,24시간
샛도리물,,제주특별자치도 제주시 삼양일동 1938-3,N,2,3,N,없음,064-728-8175,24시간
서동항포구,,제주특별자치도 제주시 구좌읍 평대리 2025-6,N,0,0,N,남자화장실+여자화장실,064-728-7745,24시간
서문공설시장(서쪽입구-제중 건너편),제주특별자치도 제주시 서문로4길 13-2,제주특별자치도 제주시 용담일동 135-9,N,3,3,N,없음,064-728-2825,24시간
서문동해녀탈의장,제주특별자치도 제주시 구좌읍 하도서문길 23,제주특별자치도 제주시 구좌읍 하도리 1900-4,N,1,1,N,없음,064-728-7745,24시간
서우봉해변(관리사무소),제주특별자치도 제주시 조천읍 조함해안로 534,제주특별자치도 제주시 조천읍 함덕리 1004-57,N,2,3,N,없음,064-728-8765,24시간
서우봉해변(관리사무소동쪽),제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 산 14-1,N,4,3,N,없음,064-728-8765,24시간
서우봉해변(관리사무소앞),제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 산 14-1,N,3,6,N,없음,064-728-8765,24시간
서우봉해변야영장,제주특별자치도 제주시 조천읍 조함해안로 585,제주특별자치도 제주시 조천읍 함덕리 200,N,3,5,N,없음,064-728-8765,24시간
석두청산,,제주특별자치도 제주시 추자면 신양리 149-2,N,1,1,N,없음,064-728-4282,24시간
선운정사내,제주특별자치도 제주시 애월읍 구몰동길 65,제주특별자치도 제주시 애월읍 봉성리 3608,N,3,3,N,없음,064-728-8883,24시간
세미오름주차장,,제주특별자치도 제주시 구좌읍 송당리 산 145-2,N,0,2,N,없음,064-728-7745,24시간
세화리해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 1465,제주특별자치도 제주시 구좌읍 세화리 1381-2,N,1,3,N,남자화장실+여자화장실,064-728-7745,24시간
세화항포구,제주특별자치도 제주시 구좌읍 해맞이해안로 1391,제주특별자치도 제주시 구좌읍 세화리 1500-66,N,2,5,N,여자화장실,064-728-7745,24시간
수산봉정상,,제주특별자치도 제주시 애월읍 수산리 산 1-1,N,1,1,N,없음,064-728-8883,24시간
수운공원(학생문화원옆),제주특별자치도 제주시 청귤로5길 6-9,제주특별자치도 제주시 이도이동 371,N,4,5,Y,없음,064-728-3605,24시간
수원리공중화장실,제주특별자치도 제주시 한림읍 한림해안로 271,제주특별자치도 제주시 한림읍 수원리 724-2,N,1,3,N,없음,064-728-7656,24시간
